DateTime,RTD1_(C),RTD2_(C),RTD3_(C)
1970-1-1 0:0:2.134,25.97,25.84,26.07
1970-1-1 0:0:3.695,25.97,25.84,26.07
1970-1-1 0:0:5.247,25.97,25.84,26.07
1970-1-1 0:0:6.823,26.00,25.84,26.07
1970-1-1 0:0:8.314,25.97,25.87,26.07
1970-1-1 0:0:9.797,26.07,25.87,26.14
1970-1-1 0:0:11.296,26.44,25.90,26.78
1970-1-1 0:0:12.787,27.22,25.90,27.76
1970-1-1 0:0:14.292,28.27,25.90,28.78
1970-1-1 0:0:15.772,29.15,25.90,29.63
1970-1-1 0:0:17.264,30.00,25.90,30.37
1970-1-1 0:0:18.752,30.71,25.87,31.02
1970-1-1 0:0:20.245,31.29,25.90,31.56
1970-1-1 0:0:21.744,31.76,25.90,32.03
1970-1-1 0:0:23.227,32.17,25.90,32.44
1970-1-1 0:0:24.720,32.51,25.90,32.68
1970-1-1 0:0:26.214,32.78,25.90,33.05
1970-1-1 0:0:27.696,33.02,25.90,33.22
1970-1-1 0:0:29.175,33.15,25.90,33.39
1970-1-1 0:0:30.647,33.32,25.90,33.59
1970-1-1 0:0:32.138,33.59,25.94,33.73
1970-1-1 0:0:33.603,33.63,25.90,33.83
1970-1-1 0:0:35.085,33.73,25.90,33.97
1970-1-1 0:0:36.545,33.80,25.90,34.10
1970-1-1 0:0:38.038,33.90,25.90,34.10
1970-1-1 0:0:39.528,33.93,26.11,34.10
1970-1-1 0:0:41.01,33.90,26.88,34.10
1970-1-1 0:0:42.483,33.83,28.00,34.03
1970-1-1 0:0:43.976,33.76,28.95,33.93
1970-1-1 0:0:45.457,33.66,29.83,33.83
1970-1-1 0:0:46.927,33.56,30.47,33.69
1970-1-1 0:0:48.409,33.42,31.08,33.59
1970-1-1 0:0:49.888,33.32,31.56,33.46
1970-1-1 0:0:51.360,33.19,31.90,33.32
1970-1-1 0:0:52.829,33.08,32.20,33.19
1970-1-1 0:0:54.301,32.98,32.44,33.02
1970-1-1 0:0:55.761,32.88,32.51,32.88
1970-1-1 0:0:57.244,32.71,32.44,32.75
1970-1-1 0:0:58.686,32.58,32.37,32.61
1970-1-1 0:1:0.134,32.44,32.24,32.47
1970-1-1 0:1:1.587,32.30,32.13,32.34
1970-1-1 0:1:3.046,32.17,32.00,32.24
1970-1-1 0:1:4.500,32.07,31.86,32.10
1970-1-1 0:1:5.949,31.93,31.76,32.00
1970-1-1 0:1:7.421,31.76,31.63,31.86
1970-1-1 0:1:8.902,31.59,31.56,31.73
1970-1-1 0:1:10.382,31.46,31.39,31.56
1970-1-1 0:1:11.875,31.29,31.25,31.42
1970-1-1 0:1:13.365,31.15,31.12,31.25
1970-1-1 0:1:14.837,31.02,31.02,31.12
1970-1-1 0:1:16.321,30.88,30.88,30.98
1970-1-1 0:1:17.793,30.78,30.78,30.85
1970-1-1 0:1:19.276,30.68,30.68,30.68
1970-1-1 0:1:20.765,30.58,30.54,30.58
1970-1-1 0:1:22.256,30.47,30.47,30.44
1970-1-1 0:1:23.735,30.41,30.34,30.34
1970-1-1 0:1:25.220,30.30,30.27,30.24
1970-1-1 0:1:26.713,30.20,30.17,30.14
1970-1-1 0:1:28.194,30.10,30.10,30.03
1970-1-1 0:1:29.676,30.03,30.03,29.93
1970-1-1 0:1:31.155,29.93,29.93,29.83
1970-1-1 0:1:32.629,29.86,29.86,29.76
1970-1-1 0:1:34.108,29.76,29.76,29.66
1970-1-1 0:1:35.591,29.73,29.70,29.59
1970-1-1 0:1:37.083,29.63,29.63,29.53
1970-1-1 0:1:38.555,29.59,29.56,29.42
1970-1-1 0:1:40.060,29.49,29.49,29.36
1970-1-1 0:1:41.556,29.42,29.39,29.29
1970-1-1 0:1:43.040,29.39,29.36,29.22
1970-1-1 0:1:44.521,29.32,29.25,29.15
1970-1-1 0:1:45.994,29.25,29.19,29.09
1970-1-1 0:1:47.480,29.19,29.12,29.02
1970-1-1 0:1:48.950,29.12,29.05,28.98
1970-1-1 0:1:50.442,29.09,28.98,28.95
1970-1-1 0:1:51.921,29.02,28.95,28.85
1970-1-1 0:1:53.515,28.95,28.88,28.81
1970-1-1 0:1:54.999,28.92,28.85,28.75
1970-1-1 0:1:56.472,28.88,28.78,28.68
